Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,Close_^DJI,High_^DJI,Low_^DJI,Open_^DJI,Volume_^DJI,Close_^IXIC,High_^IXIC,Low_^IXIC,Open_^IXIC,Volume_^IXIC,Close_^HSI,High_^HSI,Low_^HSI,Open_^HSI,Volume_^HSI,Close_^N225,High_^N225,Low_^N225,Open_^N225,Volume_^N225,Close_^GDAXI,High_^GDAXI,Low_^GDAXI,Open_^GDAXI,Volume_^GDAXI,Close_^VIX,High_^VIX,Low_^VIX,Open_^VIX,Volume_^VIX,NSE_Return,DJI_Return,IXIC_Return,HSI_Return,N225_Return,GDAXI_Return,VIX_Return,NSE_Close_Ratio,N225_Close_Ratio,HSI_Close_Ratio,Quarter,Month,Year
2023-01-02,18197.44921875,18215.150390625,18086.5,18131.69921875,256100.0,,,,,,,,,,,,,,,,,,,,,14069.259765625,14095.91015625,13976.4404296875,13992.7099609375,34978500.0,,,,,,,,,,,,,,,,1,1,2023
2023-01-03,18232.55078125,18251.94921875,18149.80078125,18163.19921875,208700.0,33136.37109375,33387.51953125,32850.5703125,33148.8984375,355930000.0,10386.98046875,10613.0595703125,10309.16015625,10562.0595703125,4780650000.0,20145.2890625,20212.55078125,19303.73046875,19570.4296875,2286700000.0,,,,,,14181.669921875,14293.8701171875,14083.759765625,14116.0703125,57907500.0,22.899999618530273,23.760000228881836,22.729999542236328,23.09000015258789,0.0,,,,,,,,0.9981178680820436,,0.971464327306671,1,1,2023
2023-01-04,18042.94921875,18243.0,18020.599609375,18230.650390625,235200.0,33269.76953125,33409.1015625,33033.48046875,33165.140625,379400000.0,10458.759765625,10515.2197265625,10337.6396484375,10467.8203125,5085380000.0,20793.109375,20793.109375,20233.390625,20319.98046875,3016000000.0,25716.859375,25840.6796875,25661.890625,25834.9296875,83300000.0,14490.7802734375,14492.7802734375,14264.599609375,14266.98046875,76221600.0,22.010000228881836,23.270000457763672,21.940000534057617,22.93000030517578,0.0,0.192892762485819,,,,,0.7989770472832447,,0.9998957693496757,1.0045911637489755,0.9772458799827768,1,1,2023
2023-01-05,17992.150390625,18120.30078125,17892.599609375,18101.94921875,269900.0,32930.078125,33191.71875,32812.328125,33191.71875,337920000.0,10305.240234375,10393.2197265625,10295.25,10390.3095703125,4764270000.0,21052.169921875,21396.08984375,20962.400390625,21295.869140625,2875400000.0,25820.80078125,25947.099609375,25750.4609375,25825.5,72300000.0,14436.3095703125,14501.599609375,14403.73046875,14451.23046875,60947500.0,22.459999084472656,22.920000076293945,21.969999313354492,22.200000762939453,0.0,-1.0399069487028845,0.4025740692080726,0.6910506579939524,3.215740963012048,,2.179647060362777,-3.8864602815463223,1.0032699753950804,1.0001819935326488,1.0115759667366533,1,1,2023
2023-01-06,17859.44921875,18047.400390625,17795.55078125,18008.05078125,238200.0,33630.609375,33710.66015625,32997.390625,33055.30078125,360740000.0,10569.2900390625,10604.1396484375,10265.0400390625,10363.9599609375,5199780000.0,20991.640625,21282.7109375,20862.76953125,21220.890625,2754500000.0,25973.849609375,26034.060546875,25719.609375,25740.080078125,68200000.0,14610.01953125,14610.23046875,14388.98046875,14476.7197265625,55433700.0,21.1299991607666,22.899999618530273,21.0,22.690000534057617,0.0,-0.28154392892826285,-1.0210212184696088,-1.4678559857027706,1.245896138970326,0.4041761271636579,-0.3758990344008506,2.044519995053551,1.0008837404245623,0.9909998119352464,1.0109210139452833,1,1,2023
2023-01-09,18101.19921875,18141.400390625,17936.150390625,17952.55078125,257200.0,33517.6484375,33935.109375,33487.66015625,33664.390625,327840000.0,10635.650390625,10807.259765625,10619.1201171875,10662.099609375,5132190000.0,21388.33984375,21470.689453125,21216.919921875,21295.939453125,2697900000.0,25973.849609375,26034.060546875,25719.609375,25740.080078125,68200000.0,14792.830078125,14832.8896484375,14628.6103515625,14650.73046875,64976500.0,21.969999313354492,21.979999542236328,21.270000457763672,21.75,0.0,-0.7375503705446151,2.127329450421711,2.562286746180975,-0.2875204651094143,0.5927346305856451,1.2032850922975902,-5.921638370081361,1.0052130142066338,0.9909998119352464,0.9956798708408404,1,1,2023
2023-01-10,17914.150390625,18127.599609375,17856.0,18121.30078125,283300.0,33704.1015625,33726.5390625,33421.80078125,33516.4296875,268260000.0,10742.6298828125,10743.669921875,10589.58984375,10607.7197265625,4710680000.0,21331.4609375,21395.419921875,21187.73046875,21370.419921875,2543200000.0,26175.560546875,26316.66015625,26132.80078125,26176.609375,71200000.0,14774.599609375,14790.8203125,14692.740234375,14741.9697265625,57438600.0,20.579999923706055,22.459999084472656,20.579999923706055,22.219999313354492,0.0,1.3536251708490266,-0.3358872753104869,0.627860067395658,1.8897961614184222,0.0,1.25126832639737,3.9753913201642233,1.0011105099864974,1.0000400689843154,1.0018263626897916,1,1,2023
2023-01-11,17895.69921875,17976.349609375,17824.349609375,17924.25,259900.0,33973.01171875,33974.69140625,33711.0390625,33754.03125,301650000.0,10931.669921875,10932.4404296875,10762.73046875,10794.990234375,5284390000.0,21436.05078125,21686.30078125,21327.41015625,21463.8203125,2971300000.0,26446.0,26479.990234375,26332.05078125,26362.2109375,62400000.0,14947.91015625,14965.4697265625,14794.990234375,14805.400390625,66367800.0,21.09000015258789,21.25,20.6200008392334,20.799999237060547,0.0,-1.033350475095851,0.5562834318394216,1.005857547572253,-0.2659341803315396,0.7765923824676113,-0.12323854633440323,-6.326806705012156,1.0005637783068007,0.9968316924109506,1.0012954592958088,1,1,2023
2023-01-12,17858.19921875,17945.80078125,17761.650390625,17920.849609375,227800.0,34189.96875,34292.671875,33792.1015625,34047.859375,308190000.0,11001.099609375,11027.75,10797.1201171875,10969.259765625,5681240000.0,21514.099609375,21698.939453125,21223.83984375,21599.8203125,2834600000.0,26449.8203125,26547.609375,26381.9296875,26524.939453125,77000000.0,15058.2998046875,15095.0302734375,14934.509765625,14972.2802734375,65971500.0,18.829999923706055,21.799999237060547,18.829999923706055,21.559999465942383,0.0,-0.10299775022909463,0.7978558803928948,1.7597184406860311,0.49030792619615404,1.0331754028369389,1.173030413392917,2.478135232130718,1.00140538742396,1.0028400624177207,1.0039843964972461,1,1,2023
2023-01-13,17956.599609375,17999.349609375,17774.25,17867.5,256700.0,34302.609375,34342.3203125,33915.48828125,34075.30859375,274110000.0,11079.16015625,11084.009765625,10900.16015625,10906.3701171875,5077990000.0,21738.66015625,21770.080078125,21474.98046875,21605.0703125,2463600000.0,26119.51953125,26409.2109375,26090.83984375,26391.779296875,98300000.0,15086.51953125,15132.3701171875,15041.16015625,15063.2099609375,66451100.0,18.350000381469727,19.40999984741211,18.010000228881836,19.0,0.0,-0.209547554088918,0.638615831431455,0.6351242581983385,0.3641007801365559,0.014445710126298472,0.7384955307036201,-10.715980144763149,1.0005208129406595,1.0104236130874942,0.9938547342481182,1,1,2023
2023-01-16,17894.849609375,18049.650390625,17853.650390625,18033.150390625,206200.0,34302.609375,34342.3203125,33915.48828125,34075.30859375,274110000.0,11079.16015625,11084.009765625,10900.16015625,10906.3701171875,5077990000.0,21746.720703125,21947.55078125,21572.509765625,21818.650390625,2559100000.0,25822.3203125,25938.0390625,25748.099609375,25836.669921875,71700000.0,15134.0400390625,15153.1904296875,15083.9404296875,15112.0498046875,42102700.0,18.350000381469727,19.40999984741211,18.010000228881836,19.0,0.0,0.5510095918388247,0.32945518559446274,0.7095704033847516,1.0437831512927653,-1.248782703804996,0.18740313932197328,-2.5491213180093064,1.004263100081044,1.0005557056531458,1.0033076107649492,1,1,2023
2023-01-17,18053.30078125,18072.05078125,17886.94921875,17922.80078125,219100.0,33910.8515625,34269.96875,33860.671875,34222.3203125,353050000.0,11095.1103515625,11145.4404296875,11024.7197265625,11070.0,5138410000.0,21577.640625,21797.619140625,21417.25,21678.05078125,2307500000.0,26138.6796875,26198.689453125,25895.30078125,25915.509765625,68100000.0,15187.0703125,15269.7099609375,15083.9501953125,15130.0302734375,57914400.0,19.360000610351562,20.219999313354492,19.209999084472656,19.889999389648438,0.0,-0.3438847072569362,0.0,0.0,0.037079317754917795,-1.1378433603819738,0.31498655282331534,0.0,1.0015619674087877,0.9914620813085014,1.0046534353776224,1,1,2023
2023-01-18,18165.349609375,18183.75,18032.44921875,18074.30078125,255800.0,33296.9609375,34016.53125,33269.8984375,33948.48828125,351670000.0,10957.009765625,11223.41015625,10952.0498046875,11170.9501953125,5288630000.0,21678.0,21691.669921875,21422.189453125,21514.80078125,2485300000.0,26791.119140625,26816.6796875,26211.83984375,26251.33984375,93400000.0,15181.7998046875,15250.3603515625,15156.8896484375,15182.9501953125,58258000.0,20.34000015258789,20.579999923706055,18.709999084472656,19.280000686645508,0.0,0.8854568511824201,-1.1420641742360127,0.14396574368051862,-0.7774968945120198,1.2251392251797721,0.3504039456789121,5.5040883263509865,1.0011632221860398,0.979852305010413,0.9924716662630316,1,1,2023
