Date,NSE_Daily_Return_shifted,DJI_Daily_Return_shifted,IXIC_Daily_Return_shifted,HSI_Daily_Return_shifted,N225_Daily_Return_shifted,GDAXI_Daily_Return_shifted,VIX_Daily_Return_shifted,NSE_Open_Prev_Close_Ratio,N225_Open_Prev_Close_Ratio,HSI_Open_Prev_Close_Ratio
2024-01-01,,,,,,,,,,
2024-01-02,,,,,,,,1.000434608685544,,
2024-01-03,-0.3500136051024061,,,,,,,0.9997830141649291,,0.990253425593009
2024-01-04,-0.685186637566948,-0.7552627899389486,-1.1765621673558213,-0.8466521431900298,,-1.3773260196470738,6.363637611557316,1.0041106908369637,,1.0016213846782374
2024-01-05,0.6564470186349425,0.02711297249284872,-0.5613279720430908,-0.0025812622419296716,,0.47706236531102064,0.6410267295756666,1.00217698242155,1.0032813482406655,0.9956228875636502
2024-01-08,0.24101822286055619,0.06882825144629567,0.09490160780862844,-0.664727384684416,0.26776026948291953,-0.1388802043052917,-5.520167916870921,1.0016949548980607,1.0032813482406655,1.0028139321474179
2024-01-09,-0.911070868564301,0.5789294574972237,2.201168211605631,-1.8800948111932225,0.26776026948291953,0.736761549467313,-2.0224752812624813,1.0065355649781527,1.0032813482406655,1.0019507233639044
2024-01-10,0.14804820050666745,-0.41889317042421714,0.09391435011270044,-0.21221467382881443,1.1557447844374513,-0.1681654496588525,-2.446480861549971,0.9992783041698172,1.0039435988770127,0.9971556671319256
2024-01-11,0.34277152411805734,0.4545491925677769,0.7534164415768263,-0.572817454812169,2.0097013041435074,0.008695713235740143,-0.548594414129322,1.0032055944045835,1.0124735173095856,1.0035341155444362
2024-01-12,0.13183031833516878,0.04055913576916925,0.0036075596183460235,1.2720146642590135,1.765709282438177,-0.8554995252881059,-1.9700552266877946,1.005836854977089,1.0157429750743472,0.9947816155342425
2024-01-15,1.1426492637705898,-0.3130094703543751,0.01716301438894341,-0.3524709839984208,1.5042856359534174,0.9520213397443467,2.0900340647264315,1.0072437937165086,1.0016024831626726,1.0008433702346635
2024-01-16,0.9267074694848665,-0.3130094703543751,0.01716301438894341,-0.17390415673497195,0.9126083968141296,-0.4929183471719889,2.0900340647264315,0.9992329784952908,1.0002064007517035,0.9885251424194915
2024-01-17,-0.29482333845447517,-0.6167624171026787,-0.18974562268223583,-2.1608474578516668,-0.7871735152474302,-0.30405693997010985,8.9763807908964,0.9825233512798769,1.0064852700715359,0.9936001165036449
2024-01-18,-2.0894393512082443,-0.2528008153529382,-0.5937327117390034,-3.7124826934106347,-0.39706048466251476,-0.8447558546560319,6.864160395890595,0.9926872625927152,0.9969981185390844,1.0015899847771088
2024-01-19,-0.5085271508735612,0.5418715700649113,1.3464956148553586,0.7520481609476493,-0.03263489088231042,0.8256007797433185,-4.462473624843866,1.0071264298361076,1.0126189789125641,1.0008381345244615
2024-01-22,0.746195718645537,1.0547266440950054,1.6958373056834786,-0.5398956792166731,1.401610689763788,-0.07375198983599063,-5.874026305617585,1.0071264298361076,1.0091991644686957,1.002636370183679
2024-01-23,0.746195718645537,0.3644848368427489,0.32212402859392864,-2.27002266316384,1.6229883853936533,0.7745545276217847,-0.827072246421412,1.0071264298361076,1.0015966192458565,1.005156705035062
2024-01-24,-1.774084294273448,-0.2535652343026884,0.4274033267473776,2.625466637354701,-0.08038675423810426,-0.33727938111984823,-4.852156254805884,0.997478634420015,0.9972092843149777,1.0161827564564259
2024-01-25,1.0129971071150878,-0.2613307474034654,0.3628919250833196,3.5553623996627426,-0.7971227035615813,1.5807340947507686,4.701196363514493,1.000030315659759,0.9996317653943362,1.0056648458028996
2024-01-26,-0.47240537554001927,0.6420562165209365,0.18460293212483325,1.9628452399283125,0.02757176827767882,0.10065175014821737,2.359204397585213,1.000030315659759,0.9935570777712716,0.9967159902625419
2024-01-29,-0.47240537554001927,0.15848137127811857,-0.35549884554011424,-1.6020856997754462,-1.3395301866990006,0.3221799321029728,-1.412636305410342,1.000030315659759,1.001768303702446,1.0058938172586074
